,Date,Mention Content,Processed Content,Year-Month,Length
0,3/4/2020,"RT @BadFoxGraphics: “Statistically, I hated to do it.” –Pres. Trump on repatriating Americans infected with coronavirus ▪️THIS is why he only referred to 15 infected in U.S. ▪️THIS is why he blames China ▪️THIS is why he disputes mortality rates ▪️THIS is why he is unfit to serve as President RT @ddale8: Trump told Hannity that ""in one way, he hated to"" bring back Americans from the Diamond Princess cruise -- ""statistically, I hated to do it"" -- since it would increase the number of US coronavirus cases, and he wondered, ""Is it gonna look bad?"" But he decided it was right.","“statistically  hated   ” –pres trump  repatriating americans infected  coronavirus ▪️     referred  15 infected  u ▪️    blames china ▪️    disputes mortality rates ▪️     unfit  serve  president  trump told hannity  "" one way  hated "" bring back americans   diamond princess cruise""statistically  hated   ""since   increase  number   coronavirus cases   wondered ""  gonna look bad""   decided   right",2020-03,400
1,3/6/2020,"RT @canadafreepress: Blame China, Not The President, For Coronavirus https://canadafreepress.com/article/blame-china-not-the-president-for-coronavirus",blame china   president  coronavirus,2020-03,36
2,3/8/2020,"This idiots are rooting for Coronavirus. They act like Trump created it and turned it lose on the world. I don’t hear anyone blaming China for how they poorly handled it. But no it is always the POTUS. NEVER TRUMPERS!!!! RT @tomselliott: MSNBC’s @esglaude Jr. on the Coronavirus: “This may be Donald Trump’s Katrina.” @NicolleDWallace: ""Let’s just lean into that for a minute … this has the makings, structurally, of the same kind of moment”","idiots  rooting  coronavirus  act  trump created   turned  lose   world   hear anyone blaming china    poorly handled      always  potus never trumpers  msnbc  jr   coronavirus “ may  donald trump katrina”  ""let  lean     minute …    makings structurally    kind  moment”",2020-03,271
3,3/9/2020,"Virus originates from Chinese lab... Virus escapes and infects everyone. Blame Trump. RT @renato_mariotti: A GOP congressman is quarantining himself after sustained contact with a person with Covid-19 (Coronavirus), but he insists on calling it the “Wuhan Virus,” presumably to blame China for this pathogen.",virus originates  chinese lab virus escapes  infects everyone blame trump   gop congressman  quarantining   sustained contact   person  covid-19  coronavirus    insists  calling   “wuhan virus” presumably  blame china   pathogen,2020-03,228
4,3/9/2020,"It’s actually the Trump virus! And the Wall Street slump is the Trump Slump! 😊😊 RT @renato_mariotti: A GOP congressman is quarantining himself after sustained contact with a person with Covid-19 (Coronavirus), but he insists on calling it the “Wuhan Virus,” presumably to blame China for this pathogen.",actually  trump virus   wall street slump   trump slump 😊😊   gop congressman  quarantining   sustained contact   person  covid-19  coronavirus    insists  calling   “wuhan virus” presumably  blame china   pathogen,2020-03,213
5,3/9/2020,RT @RyanAFournier: Stop blaming the President for the markets. This was surely going to happen with the Coronavirus outbreaks. Blame China for trying to hide it.,stop blaming  president   markets   surely going  happen   coronavirus outbreaks blame china  trying  hide,2020-03,106
6,3/9/2020,Exactly this. RT @RyanAFournier: Stop blaming the President for the markets. This was surely going to happen with the Coronavirus outbreaks. Blame China for trying to hide it.,exactly   stop blaming  president   markets   surely going  happen   coronavirus outbreaks blame china  trying  hide,2020-03,116
7,3/9/2020,And Blame China for letting it loose. RT @RyanAFournier: Stop blaming the President for the markets. This was surely going to happen with the Coronavirus outbreaks. Blame China for trying to hide it.,blame china  letting  loose  stop blaming  president   markets   surely going  happen   coronavirus outbreaks blame china  trying  hide,2020-03,135
8,3/9/2020,For once Russia is causing real trouble and they don't see it RT @RyanAFournier: Stop blaming the President for the markets. This was surely going to happen with the Coronavirus outbreaks. Blame China for trying to hide it.,russia  causing real trouble    see   stop blaming  president   markets   surely going  happen   coronavirus outbreaks blame china  trying  hide,2020-03,144
9,3/9/2020,Blame MSM for pushing Coronavirus 24/7 and getting people to believe it's more than a new flu type. RT @RyanAFournier: Stop blaming the President for the markets. This was surely going to happen with the Coronavirus outbreaks. Blame China for trying to hide it.,blame msm  pushing coronavirus 247  getting people  believe     new flu type  stop blaming  president   markets   surely going  happen   coronavirus outbreaks blame china  trying  hide,2020-03,184
