"","PID","content","created_at","nick_name","authentication","brief_introduction","city","tweets_num","vip_level","Vtag","Account","fans_num","follows_num","gender","labels","province","sentiment","sex_orientation","user_id","crawl_time_x","like_num","repost_num","comment_num","origin_weibo","geo_info","birthday"
"1","w_13897","记录一下魔法部今天疯狂的魔法输出。（欢迎大家补充🐰）  ——“中国制造有毒” ——“请说这种话的人，不要戴中国制作的口罩，不要穿中国生产的防护服，不要用中国出口的呼吸机。以免他们染上病毒。请尊重事实尊重科学尊重他人，最重要的，尊重自己，即使科学暂时无法到达的地方，文明还会到达。”  （有骨气就别用，自己死了别怪别人，我看是你文明度不够🙄️）  ——“中国驱逐美国记者是不是为了掩盖疫情？” ——“照这种逻辑，美方上个月变相驱逐中方60名记者，是不是也在企图妨碍外界获取疫情信息?是不是美方早就预料到一个月后国内的疫情会扩散蔓延，怕中国媒体去揭美国的老底？美方驱逐中方记者背后究竟有什么不可告人的目的?是不是在试图掩盖什么?”  （鹰酱你放什么屁呢。明明是你先动的手，我们只是正当防卫好吗。）  ——“美方官员也多次说过，中方疫情应对不公开、不透明。” ——“如果我没记错的话，美国领导人曾多次公开积极评价中方疫情防控工作。1月25日，特朗普总统发推特称，中国一直在非常努力地遏制新型冠状病毒，美国非常欣赏中方的努力和透明度。3月13日，特朗普总统向记者表示，中方分享的数据有助于美方抗击疫情。言犹在耳，美方怎么突然翻脸不认账?我很想知道为什么?”  （怎么了，你们总统说的话果然是放屁呗。）  ——“骄傲宣布美国将向中国提供1亿美元。” ——“迄今为止，中方从未收到来自美国政府的资金和援助。目前，中方已经正式回复美方表示感谢，并请美方尽快将物资援助给更需要的国家。”  （美国诈捐，谢谢。鹰酱带着你莫须有的钱滚吧，你的小弟需要你。）转发理由:魔法部最近火力很猛啊[赞]",2020-03-21 08:17:00,"SuLi啊SuLi","深度学习应用工程师","好好生活",NA,7974,"6级","V","celebrity",1162,199,"女",NA,"其他",NA,NA,"25b8909f20874590",1590853279,1,1,0,"IzwErnaxd",NA,"01-01"
"2","w_41086","【风范|欧盟驻华大使： 叫“中国病毒”是无意义的甩锅游戏】欧盟放弃意大利不管？德国扣留口罩是怎么回事？防疫封城与个人自由矛盾？欧盟如何看待特朗普“中国病毒”言论？凤凰网独家对话欧盟驻华大使郁白，解答欧洲抗疫的关键问题。凤凰专报| 欧盟驻华大使： 叫“中国病毒”是无意义的甩锅游戏 凤凰网的微博视频 转发理由:[微笑]",2020-04-16 06:27:00,"夕阳木易西",NA,"不知道是喜欢孤独所以爱上了音乐🎵还是喜欢音乐所以变得孤独🍴","荷兰",271,"未开通",NA,NA,102,344,"女",NA,"海外",NA,NA,"837feeba8030284f",1590289992,0,0,0,"ICHXHy99L",NA,NA
"3","w_41390","【#特朗普称美国新增病例高峰期已过# 部分州或将提前复工[思考]】#特朗普称或将提前重启经济#当地时间15日，美国总统特朗普在白宫记者会上表示，最新数据显示，美国已经度过新冠肺炎新增病例的高峰期。他将与州长开会，协商在5月1日前开放部分州。截至美东时间15日16时44分，美国新冠肺炎确诊病例为632878例，死亡27850例。http://t.cn/A6w6mx4f #特朗普称美国新增病例峰值已过#转发理由:会说话就多说点[doge]//@温柔种茧:在与病毒的战争中，意大利迎来了拐点，中国走到了终点，美国找到了起点，从特朗普身上找到了笑点[doge][doge][doge][doge][doge]",2020-04-16 11:17:00,"蔷生才不是强生",NA,"愿你所选择的是纯粹的、是自己所喜欢的。而不是为了不辜负任何人的期待。","泸州",327,"未开通",NA,NA,132,208,"女",NA,"四川",NA,NA,"8b484fa3d7ad741f",1590378077,0,0,0,"IDxMs8za2",NA,"1997-11-06"
"4","w_22779","一直觉得特朗普这个眼周总是白的“妆面”眼熟。。今儿一早想起来出处了。一对比，还真是。不管是我国传统丑角，还是外国知名小丑，特某都从面上像到了骨子里。#特朗普变形记##特朗普向韩国寻求医疗设备支援##特朗普决定停止将新冠病毒名称与中国关联#",2020-03-25 09:53:00,"周慧muriel",NA,"藏地宗教工作者。","成都",62,"未开通",NA,NA,1492,95,"女","爱音乐剧,美食,爱文学","四川",NA,NA,"173d16bfd770fbcc",1590872411,5,0,3,NA,NA,"01-01"
"5","w_63173","【#赵立坚回应特朗普指责#：公道自在人心】21日，美国总统特朗普连发数条推特，指责“中国的发言人散布虚假信息，拼命想要掩盖中国在全球范围内造成的痛苦和伤亡”。外交部发言人赵立坚在例行记者会上对此表示，在抗击疫情的过程中，中国政府始终本着公开、透明、负责任的态度，坚持用事实说话。“谁在全力以赴维护人民生命健康，谁在竭尽所能推动国际合作？我相信公道自在人心，世人会看得清楚”。",2020-05-21 21:15:00,"青春龙岩","中国共产主义青年团龙岩市委员会官方微博",NA,"龙岩",2518,"未开通","V","org",555,211,"男","新闻资讯,教育就业","福建",NA,NA,"8c0e646e50469cfd",1608919871,0,0,0,NA,NA,"0001-00-00"
"6","w_23165","不应该指责回形针“不爱国”，而应该批判甲方“精心挑选部分事实来说谎、来实现宣传的政治目的”是对科学的侮辱  【按：很多转发和回复的朋友对第四点有疑议，这里简单展开论述：对于市场而言，赋予供给侧“监管权或允许以非市场因素歧视性供给”，都增大了市场失灵的风险。监管权在政府，比如科普vs精心选取部分科学结果包裹的广告的界定，这应该交给立法、行政和司法来处理】  1、视频呈现的不是事实的全貌  我国健康结构的整体情况是：蛋白质摄入不足，碳水过多——从数据看，我国人民有钱后，主要是沉迷在花式的碳水盛宴中，和欧美等国有钱后相比吃肉已经偏少了。  所以，要求我国人民进一步减少吃肉，实际上是要我国人民进一步减少本就不够的蛋白质摄入，也就是让我国人民普遍早死：包括更多的早产和夭折风险等。  而巴西大豆的扩张，有很大责任是川普发动对华贸易战导致的连锁反应。而认为中国需求催动巴西大豆扩张和雨林损失的舆论，很大程度和川普的对华贸易绞杀形成了对我国的夹击之势  2、视频呈现的是精心选取的全部事实中的一小部分  比如“20年来，人吃肉更多造成雨林损失”——它虽然不说中国人吃肉造成雨林损失，但是过去二十年的确中国人因为脱贫而肉食增长最多。但 它故意不说200年来，人吃肉造成多少雨林损失 故意不说organic food的碳排放强度、污染排放强度非常大 故意不说中国植树造林，是极少数自己创造碳汇折抵新增碳排放的国家 故意不说特朗普的贸易战政策，是如何造成链式反应，毁坏巴西雨林的  3、支撑线部分事实的目的是：把种族主义包裹在环保主张中，通过简化科学问题的复杂性，把本来客观的事实扭曲片面化信息，用于政治能量获取和攻防。  如果呈现全貌，那么政策应该是欧美应该率先对高收入群体征收“蛋白质税”，给发展中国家和排放同时腾出空间。  如果呈现全貌，那么政策应该是欧美政府应该像“禁止濒危物种和制品贸易”那样，禁止污染强度极高的“organic 肉类”的销售和贸易  但是，只呈现精心挑选的部分事实，则可以让舆论认为：政策应该是让发展中国家人民继续贫穷、继续早死、继续夭折、继续不吃肉。  同时，因为“只呈现部分的真实”，可以让自己的政治宣传站在“科学事实”的基础上，同时还能起到“误导舆论和认知”的宣传目的。  类似的还有：“武汉首先发现了新冠肺炎疫情”演化成“武汉病毒责任在中国人劣根性”  4、但是，我认为回形针没啥好被指责的，乙方接了甲方的货，乙方没有监管权力和拒绝服务的义务。转发理由:第一次看英雄本色2对小马给龙四准备的正餐很惊奇，结果半年碳水减半摄入瘦了15公斤后才发现，我们只是吃饱人家才是吃好@于帅洋琢玉郎:我国的政策，应该理直气壮的鼓励人民：多吃现代化产业链生产的肉蛋奶，减少对油炸类碳水化合物的热爱。富人对organic食品、高级鱼子等的追求，是温室气体排放的罪魁；",2020-03-25 12:17:00,"风在发端的少年江",NA,"一直想要成为治愈系的存在、",NA,2101,"未开通",NA,NA,659,271,"男","内拉祖里,天蝎座","其他",NA,NA,"6ad43d83c4b9054a",1590797554,0,0,0,"IzOaLpZ4B",NA,"天蝎座"
"7","w_83849","#华春莹发推回应特朗普夫妇确诊新冠#【华春莹发推回应特朗普夫妇检测阳性：希望他们都能早日康复】刚刚，中国外交部发言人华春莹发推特回应特朗普及其夫人新冠病毒检测呈阳性。  以下是华春莹推特全文：  “很遗憾听到美国总统和第一夫人新冠检测呈阳性，希望他们都能早日康复，好起来。”...全文转发理由:来了来了",2020-10-03 07:28:00,"斯塔克777",NA,NA,NA,257,"2级",NA,NA,166,100,"男",NA,"河北",NA,NA,"36eaa46b725dcd2a",1608463701,0,0,0,"Jnntu4dCW",NA,"2000-08-20"
"8","w_18471","【#人民日报钟声#：#美方政治偏见误己害人#】其他国家发生疫情后，中国秉持人类命运共同体理念，积极提供帮助。赞赏中国行动，敬佩中国担当，感谢中国支援，这是世界各地的主流声音。美方行动呢？美方先是隔岸观火，对中国采取的防控疫情措施指指点点，甚至不乏乘人之危、落井下石的举动；如今眼看美国疫情形势日趋严峻，便怨天尤人、嫁祸于人。究竟谁是负责任的，谁是不肯尽责担当的，世界自有公论。正如世卫组织所强调，诋毁他国和人民所带来的危险要大于病毒本身。奉劝美方一些人早日放下政治偏见，主动与“政治病毒”隔离，加入全球战疫的队伍，否则只会误己害人。 http://t.cn/A6zeweH6转发理由:特朗普真是个毒瘤。一天就知道甩锅，就这教育素质？美国历届总统就这个最废。看不出来引导人类走向宇宙的国家只有中国不怪你，因为眼光短。但别一天到晚就嘴炮，一天天逼逼赖赖，真想嘴给你抽烂。难道美国一把手干啥啥不行，就只能bb",2020-03-23 19:23:00,"你渤哥是无敌的",NA,NA,"西安",359,"未开通",NA,NA,179,194,"男","体育资讯","陕西",NA,NA,"286b88c7dcf6cd63",1590480885,1,0,0,"IzTlonDKH",NA,"狮子座"
"9","w_14641","特朗普20号再和白宫新型冠状病毒应对小组开记者会。特朗普在回答我提问时证实，中国一直在就新冠肺炎疫情和美国保持沟通。  问答实录: 王又又：总统先生，中国一直在与美国以及世界卫生组织，就新型冠状病毒进行沟通。 特朗普：是的，没错。 确实如此。 王又又：美国于2月2日对来自中国的旅客关闭了边境。自1月24日以来，武汉一直处于封城状态，而这一切都发生在将近2个月前。 您为什么还说：“如果您早就知道(事情会更好)？ 还有，您一直在称新型冠状病毒(为中国病毒) 特朗普：我必须说一下。 我们有，我可以为自己说话，我与中国和中国领导人有着很好的关系。 我非常尊重中国领导人。 我认为他是我的朋友。 不幸的是，这次(新冠肺炎疫情)失控了。它们来自中国，它一发不可收拾。有些人感到沮丧。我知道，我了解中国领导人。他爱中国。他尊重美国，我必须说我非常尊重中国，我尊重他。 王又又：总统先生，您一直在称新型冠状病毒(为中国病毒)。。。 特朗普：(无视)  视频来源福克斯新闻，稍后上凤凰官方有字幕版视频。  http://t.cn/A6zuz9BS http://t.cn/RqzusiU http://t.cn/A6zuZctJ转发理由:🙄️",2020-03-21 11:59:00,"張咩咩睡到飽",NA,"Up to the sky he shows me/ Dean street George street miles below me🌈",NA,33761,"6级",NA,NA,177,247,"女","LiveInLive","其他",NA,NA,"982043e8ce4b0894",1590477583,0,0,0,"IzAlZqzBc",NA,"双鱼座"
"10","w_25889","#特朗普称中国对抗击新冠病毒理解深刻#我竟无言以对[允悲][允悲][允悲] 南京 显示地图",2020-03-27 20:20:00,"大舅上山打虎",NA,"中华打虎基金会副会长，中国打虎研究院常务副院长，国家863打虎课题组负责人。","海淀区",9245,"未开通",NA,NA,1336,208,"男","宠物图集,房产,美女","北京",NA,NA,"c1e418a8958f5f77",1590865445,2,0,0,NA,"118.800541,32.055044","1990-09-09"
"11","w_25511","#特朗普称中国对抗击新冠病毒理解深刻#唉，全球经济利益共同体，应该也会帮助吧，只不过是利益在前。",2020-03-27 19:31:00,"炒饼的故事_",NA,"车车车车车车车车车车车车车车车车","哈尔滨",1794,"1级",NA,NA,188,330,"女","IT数码,美食,美女","黑龙江",NA,"异性恋","298987abb73f4796",1590500581,4,0,0,NA,NA,"1993-06-30"
"12","w_65280","【#赵立坚回击美称中国无能致全世界受难#：#中美两国谁无能让数字说话#！】6月1日，外交部发言人赵立坚主持例行记者会。有记者提问，美国总统特朗普5月29日举行记者会时称，中国政府的无能导致全世界受苦受难。他说，为何中国不让武汉感染者到中国其他地区去，却容许他们自由地在包括欧美在内的世界各...全文转发理由:特朗普你也是有脸说[微笑]",2020-06-01 20:57:00,"喜欢奶博呀",NA,NA,"石家庄",634,"1级",NA,NA,68,102,"女",NA,"河北",NA,NA,"48b0438c150dc216",1608041466,0,0,0,"J4DtEBdAq",NA,NA
"13","w_28706","【美国官员：#新加坡抗疫成功是特朗普指导# [费解][费解][费解]】 美国时间3月24日福克斯新闻主持的虚拟大会演讲中，美国白宫冠状病毒反应协调员黛博拉·伯克斯称：新加坡看到隔壁中国疫情严重，就采纳了特朗普总统对疫情的指导原则，并且很早就开始执行，所以在新加坡只有很少人受感染。  更多精彩报导详见《NOWnews今日新闻》网，本文由NOWnews 授权报导 欢迎关注NOWnews 今日新闻新浪微博   #nownews今日新闻#  www.nownews.com http://t.cn/A6ZVxYhi转发理由:[哈哈]//@五月花cxz:川普如果这么厉害能指导新加坡控制疫情，他怎么控制不住自己本国的疫情？说大话前能不能打一下草稿？不要太搞笑不然很丢脸的",2020-03-29 15:03:00,"须叔",NA,"北京晚报专栏作者，雨枫书馆书影策划，文理世界精分游客——读万卷书。行万里路。阅人无数。","海淀区",27863,"1级",NA,NA,9932,1184,"男","美食,美剧,搞笑","北京",NA,NA,"67d04ab831211a88",1590915899,0,0,0,"IAPE8fHGs",NA,"01-01"
"14","w_44395","“中国经济需续命 正好拔掉她的呼吸机”——这是纽约邮报的标题。  1、不要对美国抱有任何幻想。无论中国人如何谦卑，没可能改变美国人骨子里的傲慢、歧视和民粹主义。  打个未必恰当的比方，美国人看中国人，可能就像对自家的保洁阿姨或外卖小哥。一旦这样的分工定位发生变化，比如阿姨或者小哥在自己小区买了更大户型，那一定是通过不正当手段搞来的。平等，人权？认真你就输了。从白宫到议员到媒体，特朗普政府这几年让中国人见识了什么是虚伪、刻薄和野蛮。  2、经济的复苏至关重要。面临出口滑坡、国际环境下行、消费停摆、就业不足等诸多变量共振，对政策是严峻考验，对每个国民也到了重拾“艰苦创业”初心的时候。路再难，也要向前走，我们回不去了。 #美国新冠肺炎确诊人数超72万##新iPhoneSE##武汉将投放5亿元消费券#转发理由://@房主有话说:比喻的特别恰当，一个土豪看到被自己鄙视点外卖小哥发达了，骨子里就是歧视和看不起，越是谦卑越是欺负你，如果外卖小哥拎着刀带着狗去他家门口转几圈，保证老实，所以中国外交人员还是政府人员就应该鼓起胸膛，不要唯唯诺诺的小媳妇一样毫无骨气。",2020-04-19 15:00:00,"H-JIMS",NA,"做一个好人很难。","广州",17599,"未开通",NA,NA,267,1959,"女","设计师,淘宝控,摄影爱好者","广东",NA,NA,"8378070f3052f61e",1587941254,0,0,0,"IE2iMFaWC",NA,NA
"15","w_75206","特朗普今天与普京通话，讨论了开放全球经济的同时，对抗新冠病毒的努力。特朗普重申，希望避免与中国和俄罗斯进入昂贵的三方军备竞赛，并期待即将在维也纳召开的军控谈判取得进展。 转发理由:转发微博",2020-07-24 02:12:00,"泓羽THU",NA,"日常窥屏","海淀区",921,"未开通",NA,NA,131,1424,"男",NA,"北京",NA,NA,"eb6afd025b578c80",1608391857,0,0,0,"JcB1zu9ZX",NA,"2001-01-07"
"16","w_65012","【#赵立坚回击美称中国无能致全世界受难#：#中美两国谁无能让数字说话#！】6月1日，外交部发言人赵立坚主持例行记者会。有记者提问，美国总统特朗普5月29日举行记者会时称，中国政府的无能导致全世界受苦受难。他说，为何中国不让武汉感染者到中国其他地区去，却容许他们自由地在包括欧美在内的世界各...全文转发理由:怼的漂亮",2020-06-01 18:36:00,"i素颜修行",NA,"跳出舒适圈，改变现在的自己",NA,1544,"未开通",NA,NA,107,635,"女",NA,"其他",NA,NA,"08229fda738ec410",1608283214,0,0,0,"J4DtEBdAq",NA,"2000-02-01"
